"body","longitude","sign","degree","retrograde","speed_deg_day","motion_state","shadow_state"
"jupiter","197.452071888889","Libra","17.45","FALSE","-0.000399","ST","none"
"mars","146.775944583333","Leo","26.78","FALSE","0.558143","D","none"
"mercury","98.8590341944444","Cancer","8.86","FALSE","1.868132","D","none"
"moon","261.203814194444","Sagittarius","21.2","FALSE","11.862287","D","none"
"neptune","185.841946083333","Libra","5.84","TRUE","-0.001453","R","none"
"pluto","130.04209025","Leo","10.04","FALSE","0.021501","D","none"
"saturn","113.815608305556","Cancer","23.82","FALSE","0.117341","D","none"
"sun","82.9284020277778","Gemini","22.93","FALSE","0.95482","D","none"
"uranus","77.8930810277778","Gemini","17.89","FALSE","0.059061","D","none"
"venus","115.738145111111","Cancer","25.74","FALSE","1.189648","D","none"
