"object_type","object","natal_longitude","directed_longitude","delta_forward_deg","natal_sign","natal_degree","directed_sign","directed_degree"
"chart_point","ARMC","51.982234528","128.307033583","76.324799056","Taurus","21.98","Leo","8.31"
"chart_point","Ascendant","149.958846361","226.283645417","76.324799056","Leo","29.96","Scorpio","16.28"
"chart_point","Descendant","329.958846361","46.283645417","76.324799056","Aquarius","29.96","Taurus","16.28"
"chart_point","IC","234.35059875","310.675397806","76.324799056","Scorpio","24.35","Aquarius","10.68"
"chart_point","Midheaven","54.35059875","130.675397806","76.324799056","Taurus","24.35","Leo","10.68"
"chart_point","Vertex","292.900744667","9.225543722","76.324799056","Capricorn","22.9","Aries","9.23"
"node","North Node","80.803734611","157.128533667","76.324799056","Gemini","20.8","Virgo","7.13"
"node","South Node","260.803734611","337.128533667","76.324799056","Sagittarius","20.8","Pisces","7.13"
"planet","jupiter","197.452071889","273.776870944","76.324799056","Libra","17.45","Capricorn","3.78"
"planet","mars","146.775944583","223.100743639","76.324799056","Leo","26.78","Scorpio","13.1"
"planet","mercury","98.859034194","175.18383325","76.324799056","Cancer","8.86","Virgo","25.18"
"planet","moon","261.203814194","337.52861325","76.324799056","Sagittarius","21.2","Pisces","7.53"
"planet","neptune","185.841946083","262.166745139","76.324799056","Libra","5.84","Sagittarius","22.17"
"planet","pluto","130.04209025","206.366889306","76.324799056","Leo","10.04","Libra","26.37"
"planet","saturn","113.815608306","190.140407361","76.324799056","Cancer","23.82","Libra","10.14"
"planet","sun","82.928402028","159.253201083","76.324799056","Gemini","22.93","Virgo","9.25"
"planet","uranus","77.893081028","154.217880083","76.324799056","Gemini","17.89","Virgo","4.22"
"planet","venus","115.738145111","192.062944167","76.324799056","Cancer","25.74","Libra","12.06"
