"house","longitude","sign","degree"
"1","131,806987527778","Leo","11,81"
"2","151,864995777778","Virgo","1,86"
"3","176,899871416667","Virgo","26,9"
"4","208,790924333333","Libra","28,79"
"5","246,047747861111","Sagittarius","6,05"
"6","281,846156333333","Capricorn","11,85"
"7","311,806987527778","Aquarius","11,81"
"8","331,864995777778","Pisces","1,86"
"9","356,899871416667","Pisces","26,9"
"10","28,7909243333333","Aries","28,79"
"11","66,0477478611111","Gemini","6,05"
"12","101,846156333333","Cancer","11,85"
