"from_object","to_object","aspect","actual_angle","exact_angle","orb","orb_limit","is_exact"
"directed:uranus","natal:North Node","opposition","179,962395","180","0,037605","1","True"
"directed:uranus","natal:South Node","conjunction","0,037605","0","0,037605","1","True"
"directed:North Node","natal:ARMC","sextile","59,943394","60","0,056606","1","True"
"directed:South Node","natal:ARMC","trine","120,056606","120","0,056606","1","True"
"directed:North Node","natal:IC","trine","120,447065","120","0,447065","1","False"
"directed:North Node","natal:Midheaven","sextile","59,552935","60","0,447065","1","False"
"directed:South Node","natal:IC","sextile","59,552935","60","0,447065","1","False"
"directed:South Node","natal:Midheaven","trine","120,447065","120","0,447065","1","False"
"directed:saturn","natal:Ascendant","sextile","60,878596","60","0,878596","1","False"
"directed:saturn","natal:Descendant","trine","119,121404","120","0,878596","1","False"
