"body","longitude","longitude_string","longitude_30_string"
"chiron","55,2475316899676","55°14'51""","25°14'51"""
"jupiter","210,746669728044","210°44'48""","0°44'48"""
"mars","186,206289764211","186°12'22""","6°12'22"""
"mercury","66,6293558896305","66°37'45""","6°37'45"""
"moon","336,155209731346","336°9'18""","6°9'18"""
"neptune","265,771149174138","265°46'16""","25°46'16"""
"pluto","204,23949842246","204°14'22""","24°14'22"""
"saturn","195,518875555427","195°31'7""","15°31'7"""
"sun","82,0518612153347","82°3'6""","22°3'6"""
"uranus","241,802358368427","241°48'8""","1°48'8"""
"venus","45,7492552556725","45°44'57""","15°44'57"""
